,Code,Day,Entity,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,retail_and_recreation_average,grocery_and_pharmacy_average,residential_average,transit_stations_average,parks_average,workplaces_average,retail_and_recreation_last_average,grocery_and_pharmacy_last_average,residential_last_average,transit_stations_last_average,parks_last_average,workplaces_last_average,C1M_School closing_flag,C2M_Workplace closing_flag,C3M_Cancel public events_flag,C4M_Restrictions on gatherings_flag,C5M_Close public transport_flag,C6M_Stay at home requirements_flag,C7M_Restrictions on internal movement_flag,C8EV_International travel controls_flag,H1_Public information campaigns_flag,H2_Testing policy_flag,H3_Contact tracing_flag,H6M_Facial Coverings_flag,policy_gather_flag,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H7_Vaccination policy,H8M_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
0,ARE,2020-02-17,United Arab Emirates,0.0,3.0,1.0,0.667,4.667,2.0,0.0,3.0,1.0,0.667,4.667,2.0,-1.002,2.027142857142857,1.0,0.24285714285714285,4.7744285714285715,1.8128571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.78,7.81,8.93,0.0
1,ARE,2020-02-18,United Arab Emirates,-0.5,2.5,1.0,0.5,4.75,2.0,-0.25,2.75,1.0,0.5835,4.7085,2.0,-1.002,2.027142857142857,1.0,0.24285714285714285,4.7744285714285715,1.8128571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.78,7.81,8.93,0.0
2,ARE,2020-02-19,United Arab Emirates,-0.8,2.0,1.0,0.2,4.6,2.0,-0.43333333333333335,2.5,1.0,0.45566666666666666,4.6723333333333334,2.0,-1.002,2.027142857142857,1.0,0.24285714285714285,4.7744285714285715,1.8128571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.78,7.81,8.93,0.0
3,ARE,2020-02-20,United Arab Emirates,-1.0,1.833,1.0,0.333,4.833,1.833,-0.575,2.33325,1.0,0.425,4.7125,1.95825,-1.002,2.027142857142857,1.0,0.24285714285714285,4.7744285714285715,1.8128571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.78,7.81,8.93,0.0
4,ARE,2020-02-21,United Arab Emirates,-1.286,1.857,1.0,0.286,5.0,1.429,-0.7172000000000001,2.238,1.0,0.3972,4.7700000000000005,1.8524,-1.002,2.027142857142857,1.0,0.24285714285714285,4.7744285714285715,1.8128571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.78,7.81,8.93,0.0
5,ARE,2020-02-22,United Arab Emirates,-1.571,1.571,1.0,0.0,4.857,1.571,-1.0314,1.9522,1.0,0.2638,4.808,1.7666,-1.002,2.027142857142857,1.0,0.24285714285714285,4.7744285714285715,1.8128571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.78,7.81,8.93,0.0
6,ARE,2020-02-23,United Arab Emirates,-1.857,1.429,1.0,-0.286,4.714,1.857,-1.3028,1.738,1.0,0.1066,4.8008,1.738,-1.002,2.027142857142857,1.0,0.24285714285714285,4.7744285714285715,1.8128571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.78,7.81,8.93,0.0
7,ARE,2020-02-24,United Arab Emirates,-2.143,1.286,1.0,-0.571,4.714,2.0,-1.5714000000000001,1.5952,1.0,-0.04759999999999999,4.823600000000001,1.738,-1.7619999999999998,2.0476666666666667,0.9761666666666667,-1.0715000000000001,2.857333333333333,2.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,8.33,10.94,12.5,0.0
8,ARE,2020-02-25,United Arab Emirates,-2.286,1.429,1.0,-0.857,4.429,2.143,-1.8286000000000002,1.5144,1.0,-0.28559999999999997,4.742800000000001,1.8,-1.7619999999999998,2.0476666666666667,0.9761666666666667,-1.0715000000000001,2.857333333333333,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,8.33,10.94,12.5,0.0
9,ARE,2020-02-26,United Arab Emirates,-2.286,1.571,1.0,-1.0,3.429,2.286,-2.0286,1.4571999999999998,1.0,-0.5428,4.4286,1.9713999999999998,-1.7619999999999998,2.0476666666666667,0.9761666666666667,-1.0715000000000001,2.857333333333333,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,8.33,10.94,12.5,0.0
